当前价-0,成交总量-1,成交总额-2,持仓量-3,昨结算-4,成交笔数-5,市盈率1-6,开盘价-8,最高价-9,时间戳-G,最低价-a,今结算-b,前收盘-c,多档委买价-d,多档委买量-e,多档委卖价-f,多档委卖量-g,,
8.72,593340,519305998,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:45,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7131, 13891, 12607, 9388, 4424"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 218, 3158, 1439, 1434, 2363",59334000,8.752249941
8.72,593559,519496966,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:48,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2, 7131, 13891, 12607, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3151, 1439, 1434, 2363, 2605",59355900,8.752238042
8.72,593564,519501327,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:51,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7186, 13891, 12607, 9395, 4424"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 13, 3157, 1439, 1414, 2363",59356400,8.752237787
8.72,593579,519514407,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:54,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 68, 7271, 13891, 12607, 9395"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3140, 1439, 1414, 2363, 2605",59357900,8.752236973
8.72,593579,519514407,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:57,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 140, 7273, 13896, 12607, 9393"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3147, 1439, 1398, 2363, 2605",59357900,8.752236973
8.73,593587,519521390,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:00,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 255, 7273, 13896, 12607, 9393"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3141, 2439, 1398, 2363, 2605",59358700,8.752236656
8.72,593611,519542322,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:03,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2245, 7273, 13896, 12607, 9393"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3137, 2429, 1398, 2501, 2605",59361100,8.75223542
8.72,593611,519542322,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:06,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2245, 7277, 13898, 12607, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3137, 2429, 1398, 2501, 2605",59361100,8.75223542
8.73,593722,519639224,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:09,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2244, 7242, 13878, 12597, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3027, 2429, 1398, 2501, 2605",59372200,8.752231246
8.72,593837,519739504,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:12,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2151, 7246, 13888, 12597, 9378"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3027, 2429, 1398, 2501, 2605",59383700,8.752225005
8.73,594178,520036875,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:15,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1829, 7246, 13738, 12587, 9378"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3008, 2429, 1398, 2501, 2605",59417800,8.75220683
8.73,594185,520042986,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:18,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1829, 7354, 13751, 12587, 9391"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3001, 2429, 1398, 2462, 2605",59418500,8.752206569
8.72,594186,520043858,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:21,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1833, 7684, 13751, 12587, 9391"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3002, 2429, 1398, 2462, 2605",59418600,8.752206514
8.72,594203,520058697,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:24,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1851, 7704, 13771, 12587, 9391"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2988, 2429, 1398, 2462, 2605",59420300,8.752205845
